feature,dataset,Configuration,context,cutoff,Fold,Avg Precision,Avg Recall,Avg F1,Avg pr time,Avg rec time
classes,D1,C2.2,0.5,5,fold_3,22.35294118,12.77310924,15.75194772,0.115866086,26.47563453
classes,D1,C2.2,0.5,5,fold_4,36.25,22.39637609,23.9529447,0.10276641,33.37123033
classes,D1,C2.2,0.5,5,fold_5,23.15789474,17.50132307,15.96351212,0.111038133,29.68110628
classes,D1,C2.3,0.5,10,fold_1,22.85714286,23.55664488,20.71722216,0.106373969,36.03554273
classes,D1,C2.3,0.5,10,fold_2,26.66666667,26.42122863,23.67844355,0.105100433,31.75321325
classes,D1,C2.3,0.5,10,fold_3,23.88888889,23.19797324,22.50941725,0.106566363,27.80627977
classes,D1,C2.3,0.5,10,fold_4,27.77777778,30.72679605,25.00424217,0.113231884,34.18773818
classes,D1,C2.3,0.5,10,fold_5,19.47368421,17.36787894,17.51530345,0.094683835,28.87288199
classes,D1,C3.1,0.8,3,fold_1,14.28571429,4.329347901,6.557172986,0.096806617,49.82652313
classes,D1,C3.1,0.8,3,fold_2,19.04761905,14.94949495,14.15343915,0.100250596,44.8200592
classes,D1,C3.1,0.8,3,fold_3,15.87301587,7.786124551,9.535147392,0.120420456,47.04558748
classes,D1,C3.1,0.8,3,fold_4,24.07407407,22.93209877,17.40617407,0.105146978,48.76721432
classes,D1,C3.1,0.8,3,fold_5,15.78947368,6.112746902,8.542188805,0.106624352,48.96384559
classes,D1,C3.2,0.8,5,fold_1,25.2173913,18.41538293,18.66464453,0.113114772,58.57437796
classes,D1,C3.2,0.8,5,fold_2,30.90909091,19.14558295,21.91707095,0.105904579,59.08525926
classes,D1,C3.2,0.8,5,fold_3,28.18181818,31.06179174,23.72363466,0.107409553,54.03233381
classes,D1,C3.2,0.8,5,fold_4,24.21052632,16.47437358,17.94187128,0.10680092,63.18135085
classes,D1,C3.2,0.8,5,fold_5,21,11.28961316,13.87166282,0.126930773,58.46995101
classes,D1,C3.3,0.8,10,fold_1,20.43478261,21.69686594,20.21002067,0.131105402,73.76235884
classes,D1,C3.3,0.8,10,fold_2,20,30.24996994,21.67405422,0.122576098,61.3295736
classes,D1,C3.3,0.8,10,fold_3,20,26.06656628,20.19079227,0.111470637,57.07676386
classes,D1,C3.3,0.8,10,fold_4,21,26.46536797,22.2784322,0.096059215,63.49833068
classes,D1,C3.3,0.8,10,fold_5,18.57142857,26.65622737,20.23053688,0.099410432,58.33822706
classes,D2.R,C1.1,0.2,3,fold_1,33.33333333,8.675213675,13.71082621,0.14051644,18.11459025
classes,D2.R,C1.1,0.2,3,fold_2,53.33333333,11.77777778,19.03381643,0.126399565,21.60203357
classes,D2.R,C1.1,0.2,3,fold_3,53.33333333,13.61471861,21.65826331,0.12968421,19.61817279
classes,D2.R,C1.1,0.2,3,fold_4,53.33333333,10.92615597,17.82302665,0.130513906,18.80081964
classes,D2.R,C1.1,0.2,3,fold_5,53.33333333,15.52380952,23.82905983,0.13779583,14.80107541
classes,D2.R,C2.1,0.2,5,fold_1,48,24.94787157,32.28243686,0.162659526,13.91884542
classes,D2.R,C2.1,0.2,5,fold_2,37.5,17.23394661,22.80605388,0.138442189,18.13928738
classes,D2.R,C2.1,0.2,5,fold_3,50,24.39911804,31.33357383,0.147571146,18.33056009
classes,D2.R,C2.1,0.2,5,fold_4,46,24.86720589,31.43435074,0.173664355,19.92881999
classes,D2.R,C2.1,0.2,5,fold_5,40,25.4003268,29.58152958,0.165658683,17.38903373
classes,D2.R,C3.1,0.2,10,fold_1,35.38461538,40.6128441,34.79532906,0.125799491,9.884002465
classes,D2.R,C3.1,0.2,10,fold_2,37.5,35.74055331,35.11067888,0.079981784,5.791638951
classes,D2.R,C3.1,0.2,10,fold_3,33.84615385,34.09106919,31.63783033,0.086650335,6.328238561
classes,D2.R,C3.1,0.2,10,fold_4,32.85714286,38.22510823,33.2824402,0.082859431,3.911445703
classes,D2.R,C3.1,0.2,10,fold_5,30.83333333,32.26693628,30.61722887,0.082891802,4.699542622
classes,D2.R,C2.1,0.5,3,fold_1,20,11.30647131,12.21023965,0.088580338,13.17881279
classes,D2.R,C2.1,0.5,3,fold_2,23.80952381,11.52494331,14.94069423,0.088329434,12.64019692
classes,D2.R,C2.1,0.5,3,fold_3,14.58333333,4.298340548,6.506410256,0.083469227,9.573497683
classes,D2.R,C2.1,0.5,3,fold_4,20.37037037,8.754810005,10.91449582,0.086333513,9.900041726
